name,host,survey,m_g,g_r,converted_from_gi,dist_mpc,dist_sbf_mpc
dw1006m0730-n2,NGC3115,ELVES (Carlsten+22),19.49,0.5399999999999991,False,10.2,8.33
dw1007m0835,NGC3115,ELVES (Carlsten+22),21.1,0.6300000000000026,False,10.2,8.23
dw1007m0715,NGC3115,ELVES (Carlsten+22),17.36,0.5399999999999991,False,10.2,8.96
dw1007m0830,NGC3115,ELVES (Carlsten+22),19.89,0.46999999999999886,False,10.2,11.07
dw1042p2415,NGC3344,ELVES (Carlsten+22),17.24,0.509999999999998,False,9.82,10.03
dw1042p2501,NGC3344,ELVES (Carlsten+22),20.79,0.4399999999999977,False,9.82,10.57
dw1045p2427,NGC3344,ELVES (Carlsten+22),19.8,0.490000000000002,False,9.82,9.76
dw1039p1238,NGC3379,ELVES (Carlsten+22),16.51,0.5,False,10.7,
UGC5812,NGC3379,ELVES (Carlsten+22),15.0,0.41999999999999993,False,10.7,
dw1042p1220,NGC3379,ELVES (Carlsten+22),15.39,0.41999999999999993,False,10.7,
dw1042p1208,NGC3379,ELVES (Carlsten+22),17.0,0.620000000000001,False,10.7,
dw1042p1359,NGC3379,ELVES (Carlsten+22),20.81,0.5299999999999976,False,10.7,10.51
dw1043p1410,NGC3379,ELVES (Carlsten+22),19.81,0.35999999999999943,False,10.7,11.92
dw1043p1415,NGC3379,ELVES (Carlsten+22),19.77,0.6099999999999994,False,10.7,12.24
M95,NGC3379,ELVES (Carlsten+22),,,False,10.7,
dw1044p1359,NGC3379,ELVES (Carlsten+22),20.55,0.5600000000000023,False,10.7,10.6
dw1044p1356,NGC3379,ELVES (Carlsten+22),16.03,0.5200000000000014,False,10.7,11.13
dw1044p1351,NGC3379,ELVES (Carlsten+22),19.47,0.509999999999998,False,10.7,11.49
dw1044p1351b,NGC3379,ELVES (Carlsten+22),19.76,0.4700000000000024,False,10.7,10.65
dw1044p1154,NGC3379,ELVES (Carlsten+22),17.37,0.2900000000000027,False,10.7,9.99
dw1046p1257,NGC3379,ELVES (Carlsten+22),18.55,0.5899999999999999,False,10.7,12.45
dw1046p1401,NGC3379,ELVES (Carlsten+22),17.05,0.5899999999999999,False,10.7,11.08
dw1046p1145,NGC3379,ELVES (Carlsten+22),17.94,0.6300000000000026,False,10.7,11.02
dw1046p1219,NGC3379,ELVES (Carlsten+22),16.6,0.6300000000000008,False,10.7,10.99
M96,NGC3379,ELVES (Carlsten+22),,,False,10.7,
dw1046p1244,NGC3379,ELVES (Carlsten+22),17.86,0.41000000000000014,False,10.7,11.17
dw1046p1247,NGC3379,ELVES (Carlsten+22),18.4,0.629999999999999,False,10.7,11.68
