dw1005m0744    NGC3115 151.3961  -7.7498  19.50 0.15 >21.62      NGA_NGC3115
dw1005m0758    NGC3115 151.4233  -7.9817  17.85 0.05  20.21 0.23 NGA_NGC3115
dw1006m0730    NGC3115 151.5528  -7.5001  21.81 0.22 >22.81      NGA_NGC3115
dw1006m0732    NGC3115 151.6109  -7.5490 >22.76      >22.74      NGA_NGC3115
dw1006m0730-n2 NGC3115 151.6404  -7.5096  22.56 0.71 >22.54      NGA_NGC3115
dw1007m0830    NGC3115 151.9464  -8.5042 >21.75      >21.37      AIS_315_1_87
dw1042p2415    NGC3344 160.5916  24.2505 >20.92      >21.15      AIS_482_1_41
dw1042p2501    NGC3344 160.6815  25.0250 >23.35      >23.34      NGA_NGC3344
dw1045p2427    NGC3344 161.3793  24.4657 >21.43      >21.61      AIS_482_1_41
dw1039p1238    NGC3379 159.9290  12.6348  19.64 0.05  20.49 0.09 GI4_042054_AOHI103942p124103
UGC5812        NGC3379 160.2355  12.4728  17.31 0.05  17.74 0.05 GI4_042054_AOHI103942p124103
dw1042p1220    NGC3379 160.5015  12.3351  17.98 0.05  18.47 0.05 GI5_002010_AGC202019
dw1042p1208    NGC3379 160.6431  12.1509  20.20 0.14 >21.89      NGA_NGC3351
dw1042p1359    NGC3379 160.6886  13.9905 >22.95      >22.39      AIS_312_1_27
dw1043p1410    NGC3379 160.7948  14.1799  22.31 0.64 >22.53      AIS_312_1_17
dw1043p1415    NGC3379 160.9572  14.2554 >22.27      >21.76      AIS_312_1_27
dw1044p1359    NGC3379 161.1075  13.9988 >22.38      >22.31      AIS_312_1_27
dw1044p1356    NGC3379 161.1471  13.9396  19.44 0.10 >20.96      AIS_312_1_27
dw1044p1351    NGC3379 161.1588  13.8591  21.86 0.56 >22.00      AIS_312_1_27
dw1044p1351b   NGC3379 161.1602  13.8557 >22.10      >21.78      AIS_312_1_27
dw1044p1154    NGC3379 161.2394  11.9162  19.39 0.05  19.60 0.05 NGA_NGC3351
dw1046p1257    NGC3379 161.5590  12.9606 >23.01      >23.31      GI4_042055_J104657p125223
dw1046p1401    NGC3379 161.6027  14.0242  20.38 0.11 >22.43      GI3_084014_J104728p135322
dw1046p1145    NGC3379 161.6260  11.7557 >21.98      >22.60      NGA_NGC3368
dw1046p1219    NGC3379 161.6722  12.3270  20.64 0.11 >22.57      NGA_NGC3368
dw1046p1244    NGC3379 161.7204  12.7421  20.11 0.27  19.90 0.15 LeoRingC
dw1046p1247    NGC3379 161.7275  12.7886  22.00 0.11 >23.67      LeoRingC
dw1046p1259    NGC3379 161.7393  12.9984  20.31 0.08 >22.33      LeoRingN
dw1047p1257    NGC3379 161.7525  12.9604 >23.59      >23.34      LeoRingN
dw1047p1248    NGC3379 161.8051  12.8022  21.77 0.17 >22.86      LeoRingN
dw1047p1202    NGC3379 161.9190  12.0487  22.35 0.25 >23.50      LeoRingS
dw1047p1258    NGC3379 161.9255  12.9754  22.55 0.15 >23.58      LeoRingN
dw1048p1158    NGC3379 162.0547  11.9684  23.22 0.35 >23.79      LeoRingS
dw1048p1154    NGC3379 162.1039  11.9123 >22.30      >22.65      LeoRingS
