0358-51818-504 263.75520 +57.05237 J173501.25+570308.6
0364-52000-187 246.04212 -00.36738 J162410.10-002202.5
0367-51997-561 261.15632 +56.47717 J172437.52+562837.7
0383-51818-290 350.14666 -00.88090 J232035.18-005251.2
0390-51900-445 005.25429 +00.88002 J002101.03+005248.1
0390-51900-596 006.33301 +00.52533 J002519.92+003131.2
0394-51913-461 012.95589 +00.56478 J005149.41+003353.1
0394-51913-472 012.94711 +00.16112 J005147.29+000940.0
0395-51783-348 013.24084 +00.36877 J005257.80+002207.5
0398-51789-294 018.89334 -00.86279 J011534.40-005146.0
0399-51817-140 021.69410 -00.64608 J012646.59-003846.0
0399-51817-324 020.55775 +00.95873 J012213.85+005731.4
0405-51816-365 032.99985 +01.21745 J021159.94+011302.8
0407-51820-509 038.15880 +00.59426 J023238.09+003539.2
0407-51820-542 038.19761 +00.67810 J023247.42+004041.1
0409-51871-033 043.35543 -00.23251 J025325.28-001356.6
0410-51816-220 043.60885 -00.68964 J025426.12-004122.6
0412-51931-038  
0415-51810-486 053.31015 +00.41036 J033314.42+002437.2
0417-51821-513 008.07748 +15.00395 J003218.59+150014.2
0418-51817-302 008.07747 +15.00394 J003218.59+150014.2
0429-51820-495 026.77932 +13.94147 J014707.05+135629.1
0431-51877-191 113.23632 +37.08045 J073256.71+370449.6
0439-51877-613 123.84893 +45.58449 J081523.74+453504.2
0440-51885-151 123.65537 +49.05002 J081437.29+490300.0
0440-51885-158 123.69803 +49.06687 J081447.53+490400.7
0440-51885-608 124.83161 +50.00575 J081919.58+500020.7
0441-51868-315 123.49500 +45.74510 J081358.76+454441.8
0442-51882-413 125.76292 +52.39291 J082303.09+522334.4
0445-51873-404 129.43118 +51.64174 J083743.47+513830.3
0446-51899-086 131.36053 +53.15447 J084526.52+530916.1
0446-51899-249 129.90710 +53.45653 J083937.69+532723.4
0446-51899-283 128.82079 +53.53643 J083516.98+533211.1
0447-51877-361 131.36507 +53.14805 J084527.60+530852.9
0450-51908-048 137.62908 +54.39471 J091030.97+542340.9
0454-51908-062 037.94166 -09.14656 J023145.99-090847.6
0455-51909-073 040.21749 -08.47429 J024052.19-082827.4
0456-51910-076 042.06640 -08.28792 J024815.93-081716.5
0456-51910-306 040.21750 -08.47429 J024052.19-082827.4
0456-51910-482 041.50130 -07.57134
