0455-51909-073 1.5563 0.0393 7.89 0.03 -1.15 0.04 -0.81 0.04 -1.73 0.08 -2.56 0.09  0.00 0.00 -1.57 0.19
0456-51910-076 1.3744 0.0253 7.98 0.02 -1.55 0.03 -0.69 0.04 -1.56 0.04 -2.29 0.03 -3.49 0.11 -1.95 0.13
0456-51910-306 1.5408 0.0408 7.91 0.03 -1.06 0.04 -0.82 0.05 -1.77 0.09 -2.50 0.10  0.00 0.00 -1.48 0.19
0456-51910-482 1.6385 0.7992 7.02 0.37 -0.01 0.51 -1.36 1.18 -1.03 0.45 -1.91 0.43  0.00 0.00  0.00 0.00
0457-51901-304 1.1694 0.0792 8.13 0.07 -1.50 0.09 -0.82 0.13 -1.61 0.12 -2.43 0.08  0.00 0.00  0.00 0.00
0457-51901-309 1.3088 0.0282 8.03 0.02 -1.51 0.03 -0.73 0.04 -1.59 0.04 -2.37 0.04 -3.55 0.17 -2.16 0.25
0457-51901-465 1.4476 0.0377 7.89 0.03 -1.48 0.04 -0.73 0.05 -1.61 0.07 -2.33 0.06  0.00 0.00 -1.76 0.25
0462-51909-363 1.0515 0.1088 8.27 0.11 -1.32 0.14 -0.81 0.22 -1.64 0.18 -2.43 0.14 -3.62 0.60 -1.84 0.26
0463-51908-282 1.0337 0.1574 8.26 0.16 -1.12 0.21 -0.87 0.33 -1.56 0.26 -2.35 0.20  0.00 0.00 -1.93 0.44
0469-51913-154 1.2362 0.0770 8.09 0.06 -1.32 0.08 -0.83 0.12 -1.59 0.15 -2.27 0.08 -3.15 0.32  0.00 0.00
0473-51929-422 1.1897 0.1154 8.09 0.09 -1.05 0.12 -0.68 0.19 -1.69 0.18 -2.37 0.12  0.00 0.00 -1.61 0.23
0473-51929-518 1.0844 0.1216 8.23 0.11 -1.38 0.15 -0.80 0.23 -1.69 0.20 -2.44 0.15  0.00 0.00  0.00 0.00
0477-52026-016 0.9665 0.2073 8.35 0.24 -1.14 0.31 -0.77 0.50 -1.75 0.36 -2.50 0.30  0.00 0.00 -1.78 0.42
0477-52026-588 0.9991 0.1541 8.28 0.17 -1.04 0.21 -0.79 0.34 -1.56 0.26 -2.40 0.21  0.00 0.00 -1.64 0.31
0480-51989-004 1.3545 0.0552 8.01 0.04 -1.32 0.06 -0.65 0.07 -1.83 0.14 -2.47 0.12  0.00 0.00 -1.58 0.17
0480-51989-250 1.0387 0.1349 8.26 0.14 -1.21 0.18 -0.75 0.27  0.00 0.00 -2.34 0.17  0.00 0.00 -1.64 0.28
0480-51989-552 1.0635 0.0917 8.29 0.09 -1.06 0.11 -0.66 0.18 -1.79 0.17 -2.53 0.12  0.00 0.00 -1.99 0.29
0481-51908-180 1.3158 0.0629 7.98 0.04 -1.24 0.06 -0.77 0.09 -1.61 0.10 -2.28 0.06 -3.24 0.27  0.00 0.00
0481-51908-289 1.2390 0.0201 8.12 0.02 -1.44 0.03 -0.71 0.03 -1.71 0.03 -2.70 0.04 -3.42 0.06 -2.16 0.11
0481-51908-335 1.0624 0.1311 8.23 0.13 -1.11 0.17 -0.88 0.26 -1.60 0.20 -2.36 0.16  0.00 0.00 -1.76 0.34
0481-51908-483 1.1265 0.0820 8.20 0.07 -1.13 0.09 -0.70 0.14 -1.77 0.14 -2.47 0.09  0.00 0.00 -1.88 0.27
0481-51908-518 1.4152 0.0570 7.92 0.04 -1.42 0.06 -0.79 0.07 -1.57 0.09 -2.28 0.06  0.00 0.00  0.00 0.00
0485-51909-306 1.0251 0.0696 8.31 0.07 -1.29 0.09 -0.77 0.15 -1.73 0.12 -2.45 0.09 -3.39 0.22 -1.94 0.18
0485-51909-550 1.3263 0.0321 7.99 0.02 -1.46 0.04 -0.79 0.05 -1.55 0.05 -2.34 0.05 -3.48 0.21 -1.79 0.12
0490-51929-128 1.1049 0.0421 8.29 0.04 -1.45 0.06 -0.82 0.08 -1.69 0.09 -2.40 0.08  0.00 0.00 -2.19 0.39
0490-51929-401 1.0004 0.0807 8.38 0.09 -1.40 0.11 -0.74 0.18 -1.84 0.16 -2.48 0.11  0.00 0.00 -2.06 0.29
0491-51942-047 1.4233 0.0850 7.81 0.05 -1.60 0.08 -0.66 0.11 -1.69 0.13 -2.38 0.07  0.00 0.00 -2.04 0.59
0492-51955-449 1.2667 0.0873 8.04 0.06 -1.33 0.08 -0.77 0.13 -1.70 0.15 -2.34 0.09  0.00 0.00 -1.78 0.24
0496-51988-541 1.1204 0.1629 8.22 0.14 -1.29 0.18 -0.75 0.29 -1.65 0.24 -2.46 0.18  0.00 0.00 -1.69 0.33
0499-51988-084 1.2195 0.0498 8.13 0.04 -1.45 0.06 -0.77 0.08 -1.65 0.10 -2.43 0.06 -3.58 0.50 -1.88 0.29
0503-51999-273 0.8807 0.1476 8.54 0.19 -1.43 0.24 -0.64 0.41 -1.86 0.30 -2.62 0.24  0.00 0.00  0.00 0.00
0512-51992-334 0.8095 0.1385 8.50 0.21 -1.25 0.25 -0.82 0.44 -1.79 0.31 -2.45 0.25  0.00 0.00 -2.15 0.39
0512-51992-524 1.0102 0.1402 8.35 0.15 -1.34 0.19 -0.68 0.30 -1.71 0.25 -2.48 0.19  0.00 0.00 -1.82 0.32
0514-51994-391 1.5514 0.0507 7.85 0.03 -1.44 0.05 -0.79 0.06 -1.64 0.10 -2.38 0.10  0.00 0.00  0.00 0.00
0516-52017-178 1.7522 0.0608 7.51 0.03 -1.46 0.06 -0.86 0.05 -1.79 0.10 -2.39 0.05  0.00 0.00  0.00 0.00
0516-52017-315 1.3107 0.0600 7.98 0.04 -1.16 0.06 -0.74 0.09 -1.65 0.09 -2.34 0.06  0.00 0.00 -1.73 0.16
0523-52026-076 0.9236 0.2224 8.55 0.29 -1.54 0.35 -0.85 0.60 -1.69 0.42 -2.44 0.35  0.00 0.00  0.00 0.00
0523-52026-114 0.9240 0.2163 8.38 0.27 -0.97 0.34 -0.66 0.57 -1.75 0.39 -2.50 0.34  0.00 0.00 -1.90 0.47
0523-52026-480 1.1103 0.0948 8.21 0.09 -1.44 0.11 -0.90 0.17 -1.60 0.16 -2.35 0.11  0.00 0.00  0.00 0.00
0535-51999-563 1.0297 0.2191 8.30 0.23 -1.31 0.29 -0.73 0.47 -1.57 0.35 -2.40 0.29  0.00 0.00 -1.87 0.46
0536-52024-402 1.4094 0.0596 7.88 0.04 -1.52 0.06 -0.77 0.08 -1.60 0.10 -2.35 0.11  0.00 0.00 -1.86 0.37
0548-51986-517 1.1018 0.0771 8.23 0.07 -1.42 0.09 -0.72 0.14 -1.71 0.13 -2.46 0.09 -3.35 0.25  0.00 0.00
0549-51981-281 1.1564 0.1370 8.16 0.11 -1.49 0.15 -0.82 0.24 -1.77 0.22 -2.41 0.14  0.00 0.00 -1.98 0.40
0549-51981-621 1.8767 0.0497 7.63 0.03 -1.07 0.04 -0.76 0.04 -1.83 0.06 -2.46 0.07  0.00 0.00 -1.38 0.15
0550-51959-092 1.9216 0.0543 7.60 0.03 -1.12 0.04 -0.72 0.04 -1.80 0.06 -2.45 0.07 -3.67 0.32 -1.35 0.14
0552-51992-027 1.1748 0.0758 8.14 0.06 -1.24 0.08 -0.75 0.13 -1.65 0.12 -2.42 0.08  0.00 0.00 -1.99 0.29
0553-51999-134 1.1165 0.0946 8.20 0.08 -1.36 0.11 -0.69 0.17 -1.77 0.16 -2.44 0.11  0.00 0.00  0.00 0.00
0553-51999-342 1.0822 0.0557 8.24 0.06 -1.28 0.07 -0.71 0.11 -1.68 0.12 -2.39 0.07  0.00 0.00 -1.88 0.22
0553-51999-596 1.1015 0.0795 8.22 0.07 -1.23 0.10 -0.72 0.14 -1.64 0.15 -2.39 0.09  0.00 0.00  0.00 0.00
0553-51999-602 1.4969 0.0697 7.81 0.04 -1.32 0.06 -0.75 0.08 -1.53 0.10 -2.40 0.06  0.00 0.00  0.00 0.00
0554-52000-190 1.4414 0.0311 7.91 0.02 -1.55 0.03 -0.78 0.04 -1.64 0.05 -2.43 0.05 -3.47 0.16 -1.86 0.14
0554-52000-203 1.2215 0.0530 8.12 0.05 -1.28 0.06 -0.68 0.08  0.00 0.00 -2.30 0.06  0.00 0.00  0.00 0.00
0556-51991-011 1.2871 0.0267 8.04 0.02 -1.44 0.03 -0.83 0.04 -1.46 0.05 -2.27 0.04 -3.55 0.18 -1.96 0.21
0556-51991-224 1.1729 0.0574 8.13 0.05 -1.09 0.06 -0.70 0.10 -1.80 0.11 -2.47 0.07 -3.62 0.45 -1.93 0.25
